gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.5513445,0.5513445,0.47285464,0.20878163,0.02
1,0.59765637,0.59765637,0.5166163,0.3686235,0.0497
2,0.59765637,0.59765637,0.5166163,0.4469648,0.05
3,0.6172855,0.6172855,0.55054814,0.48220032,0.05
4,0.6757192,0.6757192,0.57974684,0.47939155,0.05
5,0.6757192,0.6757192,0.57974684,0.49189386,0.05
6,0.6757192,0.6757192,0.57974684,0.4889471,0.05
7,0.6757192,0.6757192,0.57974684,0.5014551,0.05
8,0.6757192,0.6757192,0.57974684,0.5080263,0.05
9,0.6757192,0.6757192,0.57974684,0.51740164,0.05
10,0.6757192,0.6757192,0.57974684,0.53794783,0.05
11,0.6757192,0.6757192,0.57974684,0.54337823,0.05
12,0.6757192,0.6757192,0.57974684,0.53583485,0.05
13,0.6757192,0.6757192,0.57974684,0.5308559,0.05
14,0.6757192,0.6757192,0.57974684,0.52691007,0.05
15,0.6757192,0.6757192,0.57974684,0.5379346,0.05
16,0.7241677,0.7241677,0.61163735,0.5432367,0.05
17,0.7863096,0.7863096,0.71079135,0.53261817,0.05
18,0.7863096,0.7863096,0.71079135,0.52964455,0.05
19,0.7863096,0.7863096,0.71079135,0.52140814,0.05
20,0.7863096,0.7863096,0.71079135,0.536368,0.05
21,0.7863096,0.7863096,0.71079135,0.5308447,0.05
22,0.7863096,0.7863096,0.71079135,0.5315707,0.05
23,0.7863096,0.7863096,0.71079135,0.52933276,0.05
24,0.7863096,0.7863096,0.71079135,0.5298047,0.05
25,0.7863096,0.7863096,0.71079135,0.52105254,0.05
26,0.7863096,0.7863096,0.71079135,0.51246583,0.05
27,0.7863096,0.7863096,0.71079135,0.54173577,0.05
28,0.7863096,0.7863096,0.71079135,0.5375086,0.05
29,0.7863096,0.7863096,0.71079135,0.5234039,0.05
30,0.7863096,0.7863096,0.71079135,0.5356739,0.05
31,0.7863096,0.7863096,0.71079135,0.54039145,0.05
32,0.7863096,0.7863096,0.71079135,0.5283451,0.05
33,0.7863096,0.7863096,0.71079135,0.5214555,0.05
34,0.7863096,0.7863096,0.71079135,0.5441828,0.05
35,0.7863096,0.7863096,0.71079135,0.54823905,0.05
36,0.7863096,0.7863096,0.71079135,0.54922885,0.05
37,0.7863096,0.7863096,0.71079135,0.55916387,0.05
38,0.7863096,0.7863096,0.71079135,0.55674124,0.05
39,0.7863096,0.7863096,0.71079135,0.54424083,0.05
40,0.7863096,0.7863096,0.71079135,0.547706,0.05
41,0.7863096,0.7863096,0.71079135,0.5630521,0.05
42,0.7863096,0.7863096,0.71079135,0.5246092,0.05
43,0.7863096,0.7863096,0.71079135,0.5324122,0.05
44,0.7863096,0.7863096,0.71079135,0.5380061,0.05
45,0.7863096,0.7863096,0.71079135,0.5316915,0.05
46,0.7863096,0.7863096,0.71079135,0.5482624,0.05
47,0.7863096,0.7863096,0.71079135,0.54954857,0.05
48,0.7863096,0.7863096,0.71079135,0.5644804,0.05
49,0.7863096,0.7863096,0.71079135,0.55627626,0.05
50,0.7863096,0.7863096,0.71079135,0.5638608,0.05
51,0.7863096,0.7863096,0.71079135,0.55550474,0.05
52,0.7863096,0.7863096,0.71079135,0.57185084,0.05
53,0.7863096,0.7863096,0.71079135,0.5591265,0.05
54,0.7863096,0.7863096,0.71079135,0.5582528,0.05
55,0.7863096,0.7863096,0.71079135,0.55679965,0.05
56,0.7863096,0.7863096,0.71079135,0.5480498,0.05
57,0.7863096,0.7863096,0.71079135,0.5521418,0.05
58,0.7863096,0.7863096,0.71079135,0.5712477,0.05
59,0.7863096,0.7863096,0.71079135,0.55796045,0.05
60,0.7863096,0.7863096,0.71079135,0.5424899,0.05
61,0.7863096,0.7863096,0.71079135,0.5421154,0.05
62,0.7863096,0.7863096,0.71079135,0.5361548,0.05
63,0.7863096,0.7863096,0.71079135,0.53857315,0.05
64,0.7863096,0.7863096,0.71079135,0.53989786,0.05
65,0.7863096,0.7863096,0.71079135,0.5294966,0.05
66,0.7863096,0.7863096,0.71079135,0.5420697,0.05
67,0.7863096,0.7863096,0.71079135,0.54180217,0.05
68,0.7863096,0.7863096,0.71079135,0.538059,0.05
69,0.7863096,0.7863096,0.71079135,0.5500717,0.05
70,0.7863096,0.7863096,0.71079135,0.54953283,0.05
71,0.7863096,0.7863096,0.71079135,0.54391146,0.05
72,0.7863096,0.7863096,0.71079135,0.54980844,0.05
73,0.7863096,0.7863096,0.71079135,0.5468877,0.05
74,0.7863096,0.7863096,0.71079135,0.5444011,0.05
75,0.7863096,0.7863096,0.71079135,0.5478834,0.05
76,0.7863096,0.7863096,0.71079135,0.5431787,0.05
77,0.7863096,0.7863096,0.71079135,0.54023975,0.05
78,0.7863096,0.7863096,0.71079135,0.5371643,0.05
79,0.7863096,0.7863096,0.71079135,0.5585565,0.05
80,0.7863096,0.7863096,0.71079135,0.560884,0.05
81,0.7863096,0.7863096,0.71079135,0.5432692,0.05
82,0.7863096,0.7863096,0.71079135,0.550392,0.05
