gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.5513445,0.5513445,0.47285464,0.20878163,0.02
1,0.5602981,0.5602981,0.45310244,0.36389992,0.02475102
2,0.5602981,0.5602981,0.45310244,0.44737843,0.027926153
3,0.5868286,0.5868286,0.5057851,0.49231014,0.030773936
4,0.5874023,0.5874023,0.5066225,0.49251622,0.034054067
5,0.5906685,0.5906685,0.509901,0.5038751,0.035978593
6,0.5906685,0.5906685,0.509901,0.50187886,0.037924115
7,0.6064347,0.6064347,0.5431472,0.50593954,0.04290031
8,0.6064347,0.6064347,0.5431472,0.499958,0.04752624
9,0.6064347,0.6064347,0.5431472,0.524984,0.05027456
10,0.6064347,0.6064347,0.5431472,0.5287724,0.050020933
11,0.6064347,0.6064347,0.5431472,0.52944493,0.0471259
12,0.60773265,0.60773265,0.5316159,0.52742237,0.047188427
13,0.60773265,0.60773265,0.5316159,0.5352472,0.04599873
14,0.61964834,0.61964834,0.5463659,0.5311199,0.046296317
15,0.6295659,0.6295659,0.56031126,0.53262943,0.046646647
16,0.6295659,0.6295659,0.56031126,0.5308125,0.047667935
17,0.6295659,0.6295659,0.56031126,0.53813124,0.051553793
18,0.6330269,0.6330269,0.54289734,0.51033294,0.055977162
19,0.63906014,0.63906014,0.5602322,0.5318534,0.05770649
20,0.63906014,0.63906014,0.5602322,0.54116106,0.054368135
21,0.63906014,0.63906014,0.5602322,0.54862934,0.052262392
22,0.63906014,0.63906014,0.5602322,0.55520636,0.051701114
23,0.63906014,0.63906014,0.5602322,0.5493713,0.04795702
24,0.648657,0.648657,0.57686675,0.54827887,0.048649732
25,0.648657,0.648657,0.57686675,0.5539589,0.04867069
26,0.648657,0.648657,0.57686675,0.5589388,0.051465746
27,0.648657,0.648657,0.57686675,0.5468631,0.050876755
28,0.648657,0.648657,0.57686675,0.5361208,0.049951084
29,0.65217507,0.65217507,0.585695,0.5464506,0.047841143
30,0.65217507,0.65217507,0.585695,0.5533818,0.047406267
31,0.65217507,0.65217507,0.585695,0.555166,0.046755593
32,0.65217507,0.65217507,0.585695,0.53490597,0.05080425
33,0.6566307,0.6566307,0.57276994,0.5399958,0.05026136
34,0.6566307,0.6566307,0.57276994,0.5433274,0.050119974
35,0.6566307,0.6566307,0.57276994,0.5451424,0.049335178
36,0.6566307,0.6566307,0.57276994,0.5493623,0.050857823
37,0.6566307,0.6566307,0.57276994,0.55832595,0.048052832
38,0.6566307,0.6566307,0.57276994,0.55801296,0.051470708
39,0.6679043,0.6679043,0.58947366,0.5384523,0.049788207
40,0.6679043,0.6679043,0.58947366,0.5555074,0.045936283
41,0.6679043,0.6679043,0.58947366,0.56501204,0.04695061
42,0.6679043,0.6679043,0.58947366,0.55812067,0.04619639
43,0.6679043,0.6679043,0.58947366,0.55471855,0.047749992
44,0.6679043,0.6679043,0.58947366,0.5506066,0.04636195
45,0.6679043,0.6679043,0.58947366,0.55523187,0.045928292
46,0.6679043,0.6679043,0.58947366,0.5542222,0.044979766
47,0.6679043,0.6679043,0.58947366,0.5607774,0.04728808
48,0.6679043,0.6679043,0.58947366,0.56893575,0.047128256
49,0.6681813,0.6681813,0.58484846,0.56666803,0.050604153
50,0.6681813,0.6681813,0.58484846,0.5441586,0.04815476
51,0.6681813,0.6681813,0.58484846,0.5606733,0.045801252
52,0.6681813,0.6681813,0.58484846,0.5608807,0.045270287
53,0.67835385,0.67835385,0.5958702,0.56920516,0.045456145
54,0.67835385,0.67835385,0.5958702,0.56173563,0.048189707
55,0.67835385,0.67835385,0.5958702,0.5604912,0.046423595
56,0.67835385,0.67835385,0.5958702,0.561104,0.04745807
57,0.67835385,0.67835385,0.5958702,0.5669984,0.04947862
58,0.67835385,0.67835385,0.5958702,0.5655029,0.04966285
59,0.67835385,0.67835385,0.5958702,0.56778175,0.051736232
60,0.67835385,0.67835385,0.5958702,0.5538454,0.05033974
61,0.67835385,0.67835385,0.5958702,0.5563098,0.052041445
62,0.67835385,0.67835385,0.5958702,0.5563266,0.053298187
63,0.67835385,0.67835385,0.5958702,0.5558455,0.051197402
64,0.67835385,0.67835385,0.5958702,0.5426223,0.051089063
65,0.67835385,0.67835385,0.5958702,0.5553388,0.05225903
66,0.67835385,0.67835385,0.5958702,0.5679078,0.051688388
67,0.67835385,0.67835385,0.5958702,0.5736177,0.04939695
68,0.67835385,0.67835385,0.5958702,0.5637536,0.050051477
69,0.67835385,0.67835385,0.5958702,0.5603792,0.048419196
70,0.67835385,0.67835385,0.5958702,0.5607394,0.04810835
71,0.67835385,0.67835385,0.5958702,0.5665777,0.047619812
72,0.67835385,0.67835385,0.5958702,0.5629062,0.048548896
73,0.67835385,0.67835385,0.5958702,0.57020456,0.04642376
74,0.67835385,0.67835385,0.5958702,0.5519369,0.050972622
75,0.67835385,0.67835385,0.5958702,0.5644006,0.047646422
76,0.67835385,0.67835385,0.5958702,0.56512684,0.045624476
77,0.67835385,0.67835385,0.5958702,0.5668382,0.046952274
78,0.67835385,0.67835385,0.5958702,0.56723815,0.047683176
79,0.67835385,0.67835385,0.5958702,0.558773,0.04741081
80,0.67835385,0.67835385,0.5958702,0.56609136,0.04573341
81,0.67835385,0.67835385,0.5958702,0.5562934,0.04737313
82,0.67835385,0.67835385,0.5958702,0.5534512,0.046621025
83,0.67835385,0.67835385,0.5958702,0.5539468,0.04548941
84,0.67835385,0.67835385,0.5958702,0.55107564,0.046934262
85,0.67835385,0.67835385,0.5958702,0.55293703,0.04787124
86,0.67835385,0.67835385,0.5958702,0.56431156,0.049042854
87,0.67835385,0.67835385,0.5958702,0.5443278,0.05093704
88,0.67835385,0.67835385,0.5958702,0.5403078,0.04942587
89,0.67835385,0.67835385,0.5958702,0.55566317,0.049568187
90,0.67835385,0.67835385,0.5958702,0.57233596,0.04688752
91,0.67835385,0.67835385,0.5958702,0.5712459,0.044833302
92,0.67835385,0.67835385,0.5958702,0.5589878,0.044304337
93,0.67835385,0.67835385,0.5958702,0.569401,0.04452026
94,0.67835385,0.67835385,0.5958702,0.56813884,0.046182457
95,0.67835385,0.67835385,0.5958702,0.5718938,0.04575675
96,0.67835385,0.67835385,0.5958702,0.56528074,0.045544785
97,0.67835385,0.67835385,0.5958702,0.57333165,0.04419575
98,0.67835385,0.67835385,0.5958702,0.5572183,0.044960517
99,0.67835385,0.67835385,0.5958702,0.56525177,0.04288925
100,0.67835385,0.67835385,0.5958702,0.56568766,0.04457709
101,0.67835385,0.67835385,0.5958702,0.56170577,0.048491232
102,0.67835385,0.67835385,0.5958702,0.56298184,0.04710459
103,0.67835385,0.67835385,0.5958702,0.5645208,0.04715476
104,0.67835385,0.67835385,0.5958702,0.5599251,0.047772918
105,0.67835385,0.67835385,0.5958702,0.56405693,0.047789797
106,0.67835385,0.67835385,0.5958702,0.5662528,0.04834083
107,0.67835385,0.67835385,0.5958702,0.5668608,0.047976296
108,0.67835385,0.67835385,0.5958702,0.5661498,0.04709426
109,0.67835385,0.67835385,0.5958702,0.5738283,0.047071937
110,0.67835385,0.67835385,0.5958702,0.5765045,0.046682086
111,0.67835385,0.67835385,0.5958702,0.56654745,0.047589663
112,0.67835385,0.67835385,0.5958702,0.56418455,0.04742664
113,0.67835385,0.67835385,0.5958702,0.5616318,0.04705516
114,0.67835385,0.67835385,0.5958702,0.54234195,0.04932271
115,0.67835385,0.67835385,0.5958702,0.5644687,0.04790471
116,0.67835385,0.67835385,0.5958702,0.5683391,0.045237742
117,0.67835385,0.67835385,0.5958702,0.56753844,0.045221362
118,0.67835385,0.67835385,0.5958702,0.5734586,0.047264393
119,0.67835385,0.67835385,0.5958702,0.55309886,0.047216818
120,0.67835385,0.67835385,0.5958702,0.55854857,0.04645068
121,0.67835385,0.67835385,0.5958702,0.55905807,0.046755325
122,0.67835385,0.67835385,0.5958702,0.5545845,0.047669135
123,0.67835385,0.67835385,0.5958702,0.5625886,0.048466265
124,0.67835385,0.67835385,0.5958702,0.5638244,0.049798265
125,0.67835385,0.67835385,0.5958702,0.5581194,0.04920398
126,0.67835385,0.67835385,0.5958702,0.5602973,0.05264916
127,0.67835385,0.67835385,0.5958702,0.5587247,0.052060384
128,0.67835385,0.67835385,0.5958702,0.5551651,0.053642277
129,0.67835385,0.67835385,0.5958702,0.54215235,0.05337572
130,0.67835385,0.67835385,0.5958702,0.54874724,0.05197647
131,0.67835385,0.67835385,0.5958702,0.5474157,0.052712496
132,0.67835385,0.67835385,0.5958702,0.55157,0.052014735
133,0.67835385,0.67835385,0.5958702,0.5540839,0.05277914
134,0.67835385,0.67835385,0.5958702,0.5449247,0.052936308
135,0.67835385,0.67835385,0.5958702,0.53679085,0.05202861
136,0.67835385,0.67835385,0.5958702,0.5462175,0.052333795
137,0.67835385,0.67835385,0.5958702,0.53827006,0.053883366
138,0.67835385,0.67835385,0.5958702,0.5495768,0.053703114
