gen,ratings,genomes
0,10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.101682 0.828863;0.225396 0.458232 0.501193 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.136133 0.759096;0.584835 0.106653 0.486928 0.151496 0.951349 0.037195 0.171959 0.183179 0.230050 0.354718 0.510744 0.534712 0.648478 0.040515;0.029863 0.573826 0.944263 0.106319 0.560703 0.238252 0.324155 0.859458 0.124126 0.123219 0.282854 0.459974 0.776195 0.376878;0.982714 0.048352 0.274319 0.489481 0.893750 0.736656 0.041560 0.768509 0.380071 0.093059 0.457414 0.950671 0.191759 0.375875;0.760566 0.924087 0.193789 0.857065 0.727915 0.159138 0.714874 0.739056 0.100315 0.991937 0.224023 0.737548 0.405177 0.015484;0.501209 0.655334 0.216332 0.234163 0.437118 0.689312 0.969816 0.378835 0.216826 0.729441 0.588744 0.492498 0.070912 0.162134;0.369938 0.038132 0.437546 0.272203 0.748878 0.887184 0.209225 0.041041 0.727929 0.483415 0.441970 0.211203 0.356271 0.684805;0.202773 0.879211 0.759863 0.536583 0.108253 0.492524 0.798001 0.869678 0.064704 0.069664 0.572091 0.827850 0.023805 0.294021;0.982495 0.700581 0.067293 0.082080 0.902640 0.068801 0.405989 0.795131 0.690154 0.337642 0.020128 0.682028 0.833717 0.807086;0.735012 0.726679 0.594858 0.650973 0.411730 0.402581 0.333376 0.272448 0.258534 0.623915 0.051084 0.495996 0.451145 0.062554;0.015019 0.439156 0.157861 0.310837 0.808030 0.645368 0.594621 0.690156 0.403953 0.093970 0.082215 0.170790 0.096988 0.880007;0.376332 0.315928 0.106033 0.069995 0.118736 0.600246 0.086770 0.984104 0.295536 0.126997 0.154880 0.226076 0.180939 0.502480;0.799173 0.324968 0.752367 0.201296 0.580610 0.091242 0.861415 0.151544 0.249683 0.275539 0.176405 0.920388 0.738579 0.981507;0.733433 0.925222 0.904707 0.482379 0.766763 0.624527 0.318107 0.660739 0.774568 0.949607 0.336754 0.596263 0.716508 0.070638;0.131781 0.809655 0.055206 0.398121 0.780200 0.102967 0.529627 0.907255 0.497881 0.665631 0.085759 0.044257 0.142868 0.318602;0.055297 0.689997 0.271613 0.200940 0.248641 0.680013 0.912398 0.446877 0.162119 0.926989 0.355269 0.118102 0.554544 0.180924;0.311459 0.834921 0.554039 0.265722 0.823077 0.758473 0.557259 0.323812 0.002107 0.209779 0.090059 0.211140 0.633432 0.743794;0.637303 0.944803 0.617177 0.729499 0.111421 0.699329 0.269358 0.800305 0.021785 0.662858 0.405335 0.140695 0.702822 0.442005;0.547468 0.751202 0.846473 0.188028 0.316494 0.198750 0.518281 0.204056 0.266346 0.105530 0.285708 0.183801 0.925577 0.777322;0.787690 0.079723 0.327200 0.020313 0.276829 0.759400 0.695137 0.770582 0.386614 0.392575 0.452787 0.667535 0.647954 0.930550;0.211143 0.974616 0.399811 0.060248 0.655040 0.198780 0.521480 0.806193 0.191283 0.623670 0.438021 0.136988 0.157469 0.567670;0.710362 0.833825 0.261424 0.152448 0.077918 0.775368 0.565347 0.443909 0.450228 0.167574 0.723387 0.057419 0.186744 0.033116;0.694843 0.332617 0.217596 0.110830 0.796024 0.438080 0.565972 0.791791 0.621670 0.798738 0.572950 0.629178 0.101579 0.913417;0.302456 0.551150 0.190500 0.388753 0.937156 0.129600 0.490643 0.129272 0.450885 0.016343 0.438298 0.440492 0.960656 0.058341;0.651520 0.999129 0.187948 0.204651 0.127889 0.476773 0.677149 0.382522 0.333633 0.153780 0.376468 0.264303 0.862507 0.289702;0.946884 0.689559 0.429627 0.814650 0.556883 0.319975 0.057701 0.139861 0.789475 0.463598 0.607119 0.451034 0.743773 0.437904;0.383931 0.718246 0.082085 0.079674 0.658576 0.133257 0.046765 0.238111 0.161317 0.648687 0.756072 0.193945 0.246610 0.451786;0.057979 0.772036 0.587437 0.344627 0.063654 0.502335 0.261988 0.236585 0.152284 0.031000 0.609724 0.976523 0.705896 0.290097;0.582985 0.081490 0.331986 0.854174 0.715934 0.154741 0.614266 0.801260 0.627198 0.855169 0.014184 0.064345 0.909313 0.687741
1,7;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.313280 0.014548 0.002319 0.800630 0.918401 0.557845 0.101682 0.828863;0.308924 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.869105 0.557845 0.101682 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.101682 0.828863;0.694843 0.318702 0.217596 0.110830 0.796024 0.438080 0.565972 0.791791 0.621670 0.798738 0.572950 0.629178 0.101579 0.913417;0.330395 0.553352 0.356374 0.830314 0.627642 0.773169 0.844377 0.519530 0.164867 0.167561 0.951157 0.507337 0.097276 0.732578;0.584835 0.180186 0.558788 0.286277 0.951349 0.037195 0.171959 0.183179 0.230050 0.354718 0.510744 0.534712 0.648478 0.040515;0.225396 0.458232 0.501193 0.110274 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.136133 0.759096;0.162525 0.606094 0.587437 0.808499 0.620602 0.717628 0.411515 0.183797 0.117960 0.031000 0.870727 0.591297 0.146965 0.610309;0.225396 0.458232 0.435412 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.136133 0.759096;0.198887 0.458232 0.501193 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.033049 0.759096;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.588193 0.918401 0.557845 0.101682 0.828863;0.582985 0.081490 0.331986 0.854174 0.715934 0.154741 0.614266 0.669193 0.627198 0.855169 0.014184 0.064345 0.909313 0.687741;0.225396 0.458232 0.501193 0.114564 0.883400 0.437169 0.714928 0.836418 0.336968 0.006982 0.551003 0.819939 0.136133 0.759096;0.290290 0.682792 0.501193 0.447552 0.637270 0.589669 0.807688 0.782907 0.093075 0.006982 0.708118 0.517261 0.118497 0.740094;0.214199 0.275742 0.993107 0.034612 0.927706 0.355020 0.248243 0.870212 0.237569 0.800630 0.513279 0.874092 0.145633 0.854701;0.439759 0.412328 0.501193 0.327895 0.866088 0.973904 0.505067 0.189469 0.243085 0.006982 0.651660 0.798779 0.087966 0.802088;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.710636 0.918401 0.557845 0.101682 0.828863;0.225396 0.458232 0.501193 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.130874 0.759096;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.047718 0.828863;0.225396 0.652229 0.501193 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.136133 0.759096;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.084182 0.828863;0.326100 0.514957 0.993107 0.553028 0.452269 0.400992 0.352844 0.532492 0.186163 0.800630 0.757884 0.671063 0.140317 0.833273;0.225396 0.458232 0.609546 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.136133 0.759096;0.582985 0.081490 0.331986 0.854174 0.715934 0.367568 0.614266 0.801260 0.627198 0.855169 0.014184 0.064345 0.909313 0.687741;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.152597 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.680751 0.918401 0.557845 0.101682 0.828863;0.536514 0.670447 0.752367 0.907402 0.692069 0.089622 0.630732 0.032179 0.098060 0.275539 0.933601 0.463048 0.917496 0.909209;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.101682 0.943165;0.501568 0.656680 0.993107 0.784723 0.889547 0.633673 0.624604 0.002928 0.107558 0.800630 0.867205 0.827452 0.113408 0.855528
2,7;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.651946 0.156785 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.407701 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.935004 0.893227 0.653926 0.735071 0.374367 0.014548 0.303875 0.800630 0.918401 0.422776 0.021078 0.828863;0.453925 0.668396 0.501193 0.979466 0.741100 0.916981 0.267754 0.146714 0.041091 0.006982 0.978468 0.646012 0.091235 0.824470;0.340836 0.587101 0.993107 0.127415 0.733591 0.417663 0.234450 0.488020 0.030385 0.800630 0.557067 0.636834 0.138389 0.916181;0.497717 0.629279 0.993107 0.893227 0.676739 0.735071 0.313280 0.014548 0.002319 0.800630 0.918401 0.557845 0.101682 0.828863;0.308924 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.869105 0.557845 0.182233 0.828863;0.191889 0.629279 0.993107 0.893227 0.668966 0.735071 0.184951 0.014548 0.122755 0.800630 0.869105 0.557845 0.101682 0.828863;0.497717 0.629279 0.860219 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.409184 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.872257 0.893227 0.668966 0.735071 0.313280 0.014548 0.002319 0.800630 0.918401 0.557845 0.131200 0.828863;0.308924 0.629279 0.993107 0.893227 0.498257 0.735071 0.374367 0.014548 0.122755 0.800630 0.869105 0.557845 0.101682 0.802564;0.225396 0.458232 0.435412 0.114564 0.883400 0.437169 0.714928 0.836418 0.217625 0.006982 0.551003 0.819939 0.032296 0.759096;0.491740 0.629279 0.836273 0.893227 0.668966 0.735071 0.282939 0.014548 0.122755 0.800630 0.862806 0.557845 0.223566 0.828863;0.352247 0.629279 0.993107 0.893227 0.668966 0.735071 0.313280 0.014548 0.002319 0.800630 0.918401 0.557845 0.101682 0.828863;0.342550 0.629279 0.993107 0.893227 0.668966 0.735071 0.494719 0.014548 0.122755 0.800630 0.918401 0.557845 0.081423 0.947610;0.662108 0.644181 0.752367 0.912490 0.689865 0.762091 0.220953 0.017130 0.036974 0.275539 0.939058 0.472091 0.067530 0.805496;0.308924 0.629279 0.993107 0.893227 0.668966 0.735071 0.198011 0.043493 0.122755 0.800630 0.869105 0.557845 0.101682 0.828863;0.308924 0.629279 0.993107 0.893227 0.717017 0.735071 0.374367 0.014548 0.122755 0.800630 0.869105 0.557845 0.101682 0.828863;0.308924 0.629279 0.993107 0.826688 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.869105 0.557845 0.101682 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.705414 0.374367 0.014548 0.122755 0.800630 0.999387 0.557845 0.065230 0.828863;0.299588 0.629279 0.993107 0.893227 0.668966 0.466720 0.338622 0.014548 0.036438 0.800630 0.892458 0.557845 0.101682 0.828863;0.513457 0.629279 0.993107 0.893227 0.668966 0.735071 0.303058 0.014548 0.040699 0.800630 0.693853 0.557845 0.094319 0.828863;0.497717 0.629279 0.993107 0.893227 0.699334 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.047718 0.828863;0.497717 0.629279 0.974336 0.893227 0.668966 0.735071 0.313280 0.014548 0.128213 0.800630 0.918401 0.557845 0.101682 0.828863;0.590318 0.629279 0.993107 0.930008 0.668966 0.735071 0.313280 0.014548 0.002319 0.800630 0.726756 0.557845 0.101682 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.443345 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.429552 0.014548 0.002319 0.800630 0.918401 0.557845 0.101682 0.828863;0.497717 0.629279 0.993107 0.893227 0.770570 0.735071 0.159133 0.014548 0.002319 0.743283 0.918401 0.557845 0.090903 0.828863
3,8;7;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.687095 0.156785 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.557518 0.629279 0.877325 0.884429 0.473270 0.735071 0.374367 0.232038 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.973205 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.407701 0.828863;0.544523 0.629279 0.993107 0.893227 0.668966 0.735071 0.360548 0.102258 0.112665 0.800630 0.918401 0.557845 0.422680 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.651946 0.156785 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.799176 0.388011 0.034753 0.115286 0.800630 0.918401 0.557845 0.238666 0.622559;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.583744 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.924681 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.802191 0.557845 0.078657 0.828863;0.497717 0.629279 0.993107 0.893227 0.393955 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.711914 0.454131 0.828863;0.497717 0.629279 0.993107 0.845077 0.668966 0.864951 0.533630 0.156785 0.122755 0.860849 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.357316 0.014548 0.102046 0.800630 0.918401 0.557845 0.407701 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.682836 0.374367 0.014548 0.122755 0.630549 0.918401 0.582780 0.065230 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.735071 0.531611 0.014548 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.193056 0.800630 0.918401 0.557845 0.128926 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.651946 0.156785 0.122755 0.601361 0.918401 0.557845 0.065230 0.674175;0.497717 0.655642 0.993107 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.872115 0.557845 0.407701 0.828863;0.522649 0.629279 0.993107 0.930008 0.668966 0.735071 0.313280 0.014548 0.002319 0.800630 0.726756 0.557845 0.211137 0.828863;0.341380 0.629279 0.993107 0.893227 0.668966 0.891721 0.708102 0.062969 0.122755 0.800630 0.881860 0.557845 0.056485 0.828863;0.575054 0.629279 0.993107 0.893227 0.668966 0.710198 0.174630 0.027163 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.557518 0.629279 0.993107 0.893227 0.668966 0.253547 0.197397 0.014548 0.122755 0.800630 0.918401 0.557845 0.072177 0.828863;0.557518 0.796911 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.718302 0.371830 0.126074 0.079425 0.800630 0.918401 0.557845 0.139717 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.651946 0.087247 0.122755 0.836351 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.275442 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.735071 0.357316 0.090690 0.175129 0.800630 0.918401 0.557845 0.407701 0.828863;0.497717 0.629279 0.920245 0.893227 0.668966 0.864951 0.850051 0.137781 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.527445 0.615813 0.993107 0.893227 0.668966 0.707464 0.257133 0.086076 0.252691 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.999600 0.696029 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.407701 0.828863;0.376563 0.629279 0.993107 0.893227 0.668966 0.735071 0.374367 0.014548 0.122755 0.800630 0.869105 0.557845 0.182233 0.828863
4,7;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.507691 0.629279 0.877325 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.560752 0.629279 0.993107 0.893227 0.668966 0.874834 0.616896 0.146975 0.109281 0.800630 0.918401 0.557845 0.038032 0.828863;0.557518 0.566092 0.877325 0.884429 0.473270 0.735071 0.374367 0.283773 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.687095 0.156785 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.687095 0.156785 0.122755 0.800630 0.918401 0.557845 0.065230 0.892790;0.557518 0.629279 0.877163 0.884429 0.473270 0.735071 0.374367 0.049050 0.122755 0.800630 0.918401 0.557845 0.065230 0.869747;0.497717 0.629279 0.973205 0.893227 0.668966 0.735071 0.357316 0.014548 0.313258 0.800630 0.918401 0.557845 0.407701 0.828863;0.497717 0.629279 0.993107 0.836545 0.668966 0.864951 0.687095 0.156785 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.557518 0.629279 0.877325 0.884429 0.473270 0.735071 0.374367 0.232038 0.122755 0.852897 0.918401 0.557845 0.065230 0.828863;0.544523 0.629279 0.993107 0.893227 0.668966 0.735071 0.360548 0.102258 0.112665 0.800630 0.830725 0.557845 0.422680 0.828863;0.497717 0.629279 0.973205 0.893227 0.668966 0.735071 0.479985 0.014548 0.175129 0.800630 0.918401 0.557845 0.407701 0.828863;0.488636 0.629279 0.877325 0.891121 0.511744 0.735070 0.749431 0.145357 0.122755 0.800630 0.918401 0.557845 0.032247 0.828863;0.557518 0.629279 0.934907 0.884429 0.473270 0.735071 0.374367 0.232038 0.122755 0.800630 0.242951 0.557845 0.065230 0.828863;0.559485 0.629279 0.993107 0.887897 0.428896 0.735071 0.360694 0.251686 0.111134 0.800630 0.927561 0.557845 0.127836 0.828863;0.544523 0.629279 0.993107 0.893227 0.705323 0.735071 0.360548 0.102258 0.222958 0.800630 0.802305 0.557845 0.422680 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.687095 0.156785 0.122755 0.800630 0.918401 0.754545 0.065230 0.828863;0.490537 0.629279 0.932555 0.895549 0.602851 0.781358 0.648309 0.147749 0.122755 0.800630 0.918401 0.426170 0.065230 0.828863;0.497717 0.677700 0.973205 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.407701 0.828863;0.546740 0.629279 0.993107 0.893227 0.730321 0.735071 0.357825 0.106413 0.155513 0.800630 0.918401 0.557845 0.419529 0.828863;0.502583 0.816254 0.973205 0.893227 0.668966 0.735071 0.358038 0.023666 0.125377 0.800630 0.918401 0.557845 0.418320 0.828863;0.578170 0.629279 0.993107 0.893227 0.668966 0.411929 0.032142 0.034573 0.122755 0.800630 0.918401 0.557845 0.098023 0.828863;0.513818 0.629279 0.993107 0.754129 0.668966 0.861355 0.813918 0.063365 0.110112 0.800630 0.918401 0.557845 0.074711 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.826285 0.317669 0.177264 0.185427 0.771426 0.918401 0.557845 0.167185 0.828863;0.557189 0.629279 0.973205 0.893050 0.574683 0.735071 0.357031 0.220419 0.126553 0.800630 0.899915 0.557845 0.350034 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.687095 0.154781 0.122755 0.800630 0.918401 0.415460 0.510105 0.828863;0.551043 0.629279 0.993107 0.887536 0.505441 0.980339 0.782628 0.223891 0.122755 0.800630 0.918401 0.557845 0.065230 0.828863;0.497717 0.629279 0.924793 0.893227 0.668966 0.891926 0.357316 0.014548 0.175129 0.800630 0.918401 0.557845 0.363898 0.828863;0.497717 0.629279 0.973205 0.893227 0.668966 0.735071 0.357316 0.014548 0.175129 0.800630 0.966429 0.557845 0.407701 0.828863;0.610673 0.908022 0.993107 0.893227 0.668966 0.788734 0.424141 0.082900 0.123253 0.800630 0.811112 0.557845 0.274992 0.828863;0.497717 0.629279 0.993107 0.893227 0.668966 0.864951 0.598717 0.156785 0.122755 0.800630 0.918401 0.557845 0.088229 0.828863
5,8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0.507691 0.629279 0.877325 0.959104 0.411657 0.792475 0.385421 0.131141 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.567186 0.629279 0.993107 0.898402 0.329405 0.856001 0.600400 0.144264 0.126873 0.693375 0.918401 0.502964 0.116579 0.828863;0.507691 0.629279 0.877325 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.507691 0.629279 0.877325 0.959104 0.411657 0.792475 0.385421 0.169335 0.103585 0.800630 0.918401 0.516258 0.381541 0.828863;0.559370 0.555566 0.749949 0.886641 0.580902 0.750053 0.330408 0.205401 0.125000 0.800630 0.918401 0.557845 0.062314 0.828863;0.559930 0.573501 0.877325 0.883525 0.703702 0.849383 0.252080 0.181749 0.121176 0.800630 0.918401 0.557845 0.042984 0.828863;0.508556 0.583152 0.938727 0.930329 0.548828 0.739137 0.372856 0.034393 0.122109 0.800630 0.918401 0.538428 0.415715 0.828863;0.497825 0.612348 0.877325 0.888892 0.511608 0.746517 0.545219 0.137402 0.122755 0.800630 0.918401 0.529951 0.104436 0.828863;0.507216 0.558258 0.993107 0.893227 0.668966 0.868859 0.599651 0.155306 0.108677 0.800630 0.986899 0.557845 0.068378 0.828863;0.557518 0.566092 0.877325 0.884429 0.473270 0.735071 0.374367 0.283773 0.063647 0.850339 0.276014 0.557845 0.065230 0.828863;0.561355 0.582887 0.993107 0.886667 0.580112 0.831413 0.471480 0.121455 0.119174 0.800630 0.644832 0.557845 0.046482 0.828863;0.557061 0.636948 0.973205 0.882702 0.444593 0.735071 0.355038 0.226704 0.127014 0.800630 0.922104 0.557845 0.501256 0.828863;0.507691 0.629279 0.963347 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.482170 0.381541 0.828863;0.560752 0.629279 0.993107 0.893227 0.668966 0.874834 0.616896 0.336345 0.109281 0.800630 0.699595 0.557845 0.038032 0.828863;0.545150 0.629279 0.993107 0.900956 0.594708 0.805659 0.507406 0.153550 0.116272 0.800630 0.918401 0.545843 0.326555 0.841155;0.561350 0.594109 0.877325 0.881604 0.499078 0.857882 0.284620 0.121653 0.116781 0.795167 0.918401 0.557845 0.041331 0.828863;0.557518 0.566092 0.872695 0.884429 0.473270 0.735071 0.374367 0.283773 0.231183 0.800630 0.918401 0.557845 0.065230 0.828863;0.507691 0.629279 0.877325 0.952832 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.560752 0.477239 0.993107 0.893227 0.668966 0.874834 0.616896 0.153497 0.109281 0.800630 0.918401 0.557845 0.038032 0.828863;0.555405 0.549611 0.877325 0.872301 0.458869 0.765962 0.375499 0.278922 0.122755 0.800630 0.918401 0.548125 0.268481 0.828863;0.489186 0.621408 0.877325 0.805697 0.406603 0.757479 0.385299 0.126835 0.122755 0.800630 0.918401 0.318448 0.188705 0.828863;0.386538 0.629279 0.759804 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.507691 0.629279 0.877325 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.973101 0.918401 0.516258 0.381541 0.828863;0.507691 0.629279 0.670548 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.557377 0.620487 0.877325 0.935740 0.725325 0.909904 0.360952 0.289744 0.111156 0.800630 0.918401 0.557845 0.031207 0.828863;0.560752 0.629279 0.792782 0.893227 0.668966 0.874834 0.616896 0.146975 0.109281 0.800630 0.918401 0.557845 0.038032 0.828863;0.507691 0.629279 0.877325 0.959104 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.955693 0.516258 0.381541 0.828863;0.507691 0.629279 0.877325 0.992042 0.411657 0.792475 0.385421 0.169335 0.122755 0.800630 0.918401 0.516258 0.381541 0.828863;0.560752 0.629279 0.993107 0.893227 0.648788 0.874834 0.616896 0.146975 0.109281 0.800630 0.918401 0.557845 0.038032 0.828863;0.557518 0.566092 0.877325 0.884429 0.473270 0.735071 0.374367 0.283773 0.321459 0.800630 0.918401 0.557845 0.065230 0.828863
