gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.5557712,0.5557712,0.460177,0.21035214,0.02
1,0.6657306,0.6657306,0.56790125,0.3997427,0.0497
2,0.6657306,0.6657306,0.56790125,0.4593851,0.05
3,0.6657306,0.6657306,0.56790125,0.4711369,0.05
4,0.6657306,0.6657306,0.56790125,0.47286895,0.05
5,0.6657306,0.6657306,0.56790125,0.4741061,0.05
6,0.6657306,0.6657306,0.56790125,0.47463584,0.05
7,0.67813516,0.67813516,0.56946355,0.4906519,0.05
8,0.67813516,0.67813516,0.56946355,0.5085606,0.05
9,0.67813516,0.67813516,0.56946355,0.5053235,0.05
10,0.67813516,0.67813516,0.56946355,0.4982865,0.05
11,0.67813516,0.67813516,0.56946355,0.493865,0.05
12,0.67813516,0.67813516,0.56946355,0.48203295,0.05
13,0.67813516,0.67813516,0.56946355,0.4943244,0.05
14,0.67813516,0.67813516,0.56946355,0.49856266,0.05
15,0.67813516,0.67813516,0.56946355,0.5059977,0.05
16,0.67813516,0.67813516,0.56946355,0.4894979,0.05
17,0.67813516,0.67813516,0.56946355,0.51197463,0.05
18,0.67813516,0.67813516,0.56946355,0.50752646,0.05
19,0.67813516,0.67813516,0.56946355,0.5009456,0.05
20,0.67813516,0.67813516,0.56946355,0.50845027,0.05
21,0.67813516,0.67813516,0.56946355,0.5023543,0.05
22,0.67813516,0.67813516,0.56946355,0.4904355,0.05
23,0.67813516,0.67813516,0.56946355,0.5080086,0.05
24,0.67813516,0.67813516,0.56946355,0.5105748,0.05
25,0.67813516,0.67813516,0.56946355,0.48835614,0.05
26,0.67813516,0.67813516,0.56946355,0.5095552,0.05
27,0.67813516,0.67813516,0.56946355,0.5194839,0.05
28,0.67813516,0.67813516,0.56946355,0.52463406,0.05
29,0.67813516,0.67813516,0.56946355,0.514006,0.05
30,0.67813516,0.67813516,0.56946355,0.5076582,0.05
31,0.67813516,0.67813516,0.56946355,0.5033925,0.05
32,0.67813516,0.67813516,0.56946355,0.50715697,0.05
33,0.6891337,0.6891337,0.5880721,0.5070367,0.05
