gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.57493466,0.57493466,0.50498337,0.20798022,0.02
1,0.6007415,0.6007415,0.5060506,0.35747933,0.0497
2,0.6007415,0.6007415,0.5060506,0.41316015,0.05
3,0.6304297,0.6304297,0.55824685,0.4577309,0.05
4,0.6304297,0.6304297,0.55824685,0.47252584,0.05
5,0.66360784,0.66360784,0.5820359,0.4792867,0.05
6,0.6646141,0.6646141,0.56855345,0.48284927,0.05
7,0.6646141,0.6646141,0.56855345,0.4972794,0.05
8,0.73549557,0.73549557,0.627451,0.5074528,0.05
9,0.73549557,0.73549557,0.627451,0.4863282,0.05
10,0.73549557,0.73549557,0.627451,0.49120864,0.05
11,0.73549557,0.73549557,0.627451,0.4959036,0.05
12,0.73549557,0.73549557,0.627451,0.49254796,0.05
13,0.73700684,0.73700684,0.6362573,0.5164073,0.05
14,0.73700684,0.73700684,0.6362573,0.51209563,0.05
15,0.73700684,0.73700684,0.6362573,0.5151323,0.05
16,0.7555478,0.7555478,0.66210043,0.51917577,0.05
17,0.7555478,0.7555478,0.66210043,0.52440816,0.05
18,0.7555478,0.7555478,0.66210043,0.51264006,0.05
19,0.7632221,0.7632221,0.66490763,0.5035069,0.05
20,0.7632221,0.7632221,0.66490763,0.5159385,0.05
21,0.7632221,0.7632221,0.66490763,0.5051363,0.05
22,0.7632221,0.7632221,0.66490763,0.5292077,0.05
23,0.7632221,0.7632221,0.66490763,0.51216066,0.05
24,0.7632221,0.7632221,0.66490763,0.52029,0.05
25,0.7830862,0.7830862,0.7061924,0.51952213,0.05
26,0.7830862,0.7830862,0.7061924,0.5290837,0.05
27,0.7830862,0.7830862,0.7061924,0.5269613,0.05
28,0.7830862,0.7830862,0.7061924,0.542421,0.05
29,0.7830862,0.7830862,0.7061924,0.5321563,0.05
30,0.7830862,0.7830862,0.7061924,0.5313527,0.05
31,0.7830862,0.7830862,0.7061924,0.53927743,0.05
32,0.7830862,0.7830862,0.7061924,0.5392541,0.05
33,0.7830862,0.7830862,0.7061924,0.55401903,0.05
34,0.7830862,0.7830862,0.7061924,0.54711676,0.05
35,0.7830862,0.7830862,0.7061924,0.55645835,0.05
36,0.7830862,0.7830862,0.7061924,0.54354995,0.05
37,0.7830862,0.7830862,0.7061924,0.54590964,0.05
38,0.7830862,0.7830862,0.7061924,0.54503036,0.05
39,0.7830862,0.7830862,0.7061924,0.5317578,0.05
40,0.7830862,0.7830862,0.7061924,0.51987904,0.05
41,0.7830862,0.7830862,0.7061924,0.531328,0.05
42,0.7830862,0.7830862,0.7061924,0.534837,0.05
43,0.7830862,0.7830862,0.7061924,0.55017614,0.05
44,0.7830862,0.7830862,0.7061924,0.5389721,0.05
45,0.7830862,0.7830862,0.7061924,0.52812433,0.05
46,0.7830862,0.7830862,0.7061924,0.54619926,0.05
47,0.7830862,0.7830862,0.7061924,0.5202403,0.05
48,0.7830862,0.7830862,0.7061924,0.5268941,0.05
