gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.62150204,0.62150204,0.5363129,0.1993692,0.02
1,0.62150204,0.62150204,0.5363129,0.33491787,0.0497
2,0.62150204,0.62150204,0.5363129,0.41620332,0.0497
3,0.62676436,0.62676436,0.5447263,0.41370678,0.0497
4,0.6883185,0.6883185,0.6100796,0.45682406,0.05
5,0.6883185,0.6883185,0.6100796,0.4460851,0.05
6,0.6883185,0.6883185,0.6100796,0.47059128,0.05
7,0.7746137,0.7746137,0.6878825,0.46298206,0.05
8,0.7746137,0.7746137,0.6878825,0.4563543,0.05
9,0.7746137,0.7746137,0.6878825,0.47577107,0.05
10,0.7746137,0.7746137,0.6878825,0.45959687,0.05
11,0.7746137,0.7746137,0.6878825,0.47710124,0.05
12,0.7746137,0.7746137,0.6878825,0.46622,0.05
13,0.7746137,0.7746137,0.6878825,0.48013595,0.05
14,0.875909,0.875909,0.82245433,0.47471678,0.05
15,0.875909,0.875909,0.82245433,0.48754436,0.05
16,0.875909,0.875909,0.82245433,0.47619644,0.05
17,0.875909,0.875909,0.82245433,0.4886618,0.05
18,0.875909,0.875909,0.82245433,0.5006535,0.05
19,0.875909,0.875909,0.82245433,0.48159257,0.05
20,0.875909,0.875909,0.82245433,0.50765973,0.05
21,0.875909,0.875909,0.82245433,0.5053686,0.05
22,0.875909,0.875909,0.82245433,0.49423894,0.05
23,0.875909,0.875909,0.82245433,0.49842548,0.05
24,0.875909,0.875909,0.82245433,0.50607353,0.05
25,0.875909,0.875909,0.82245433,0.5157602,0.05
26,0.875909,0.875909,0.82245433,0.4971532,0.05
27,0.875909,0.875909,0.82245433,0.5253064,0.05
28,0.875909,0.875909,0.82245433,0.5105289,0.05
29,0.875909,0.875909,0.82245433,0.5083567,0.05
30,0.875909,0.875909,0.82245433,0.5077175,0.05
31,0.875909,0.875909,0.82245433,0.5118804,0.05
32,0.875909,0.875909,0.82245433,0.49214882,0.05
33,0.875909,0.875909,0.82245433,0.52006614,0.05
34,0.875909,0.875909,0.82245433,0.5226189,0.05
35,0.875909,0.875909,0.82245433,0.518533,0.05
36,0.875909,0.875909,0.82245433,0.5015077,0.05
37,0.875909,0.875909,0.82245433,0.5142873,0.05
38,0.875909,0.875909,0.82245433,0.5263612,0.05
39,0.875909,0.875909,0.82245433,0.523825,0.05
40,0.875909,0.875909,0.82245433,0.52603376,0.05
41,0.875909,0.875909,0.82245433,0.5223997,0.05
42,0.875909,0.875909,0.82245433,0.5261597,0.05
43,0.875909,0.875909,0.82245433,0.5266746,0.05
44,0.875909,0.875909,0.82245433,0.5294048,0.05
45,0.875909,0.875909,0.82245433,0.53574425,0.05
46,0.875909,0.875909,0.82245433,0.53516746,0.05
47,0.875909,0.875909,0.82245433,0.55632985,0.05
48,0.875909,0.875909,0.82245433,0.5386703,0.05
49,0.875909,0.875909,0.82245433,0.5351477,0.05
50,0.875909,0.875909,0.82245433,0.5228821,0.05
51,0.875909,0.875909,0.82245433,0.5152318,0.05
52,0.875909,0.875909,0.82245433,0.5076608,0.05
53,0.875909,0.875909,0.82245433,0.5455219,0.05
54,0.875909,0.875909,0.82245433,0.52514756,0.05
55,0.875909,0.875909,0.82245433,0.51927966,0.05
56,0.875909,0.875909,0.82245433,0.51713705,0.05
57,0.875909,0.875909,0.82245433,0.5282356,0.05
58,0.875909,0.875909,0.82245433,0.52552813,0.05
59,0.875909,0.875909,0.82245433,0.515629,0.05
60,0.875909,0.875909,0.82245433,0.5277013,0.05
61,0.875909,0.875909,0.82245433,0.5203716,0.05
62,0.875909,0.875909,0.82245433,0.54007214,0.05
63,0.875909,0.875909,0.82245433,0.5370728,0.05
64,0.875909,0.875909,0.82245433,0.53578985,0.05
65,0.875909,0.875909,0.82245433,0.538232,0.05
66,0.875909,0.875909,0.82245433,0.52486473,0.05
67,0.875909,0.875909,0.82245433,0.52485794,0.05
68,0.875909,0.875909,0.82245433,0.5466282,0.05
69,0.875909,0.875909,0.82245433,0.54862666,0.05
70,0.9049477,0.9049477,0.8608924,0.5296154,0.05
71,0.9049477,0.9049477,0.8608924,0.5222621,0.05
72,0.9049477,0.9049477,0.8608924,0.5555652,0.05
73,0.9049477,0.9049477,0.8608924,0.5275925,0.05
74,0.9049477,0.9049477,0.8608924,0.551563,0.05
75,0.9049477,0.9049477,0.8608924,0.5614102,0.05
76,0.9049477,0.9049477,0.8608924,0.53660464,0.05
77,0.9049477,0.9049477,0.8608924,0.51637435,0.05
78,0.9049477,0.9049477,0.8608924,0.5637939,0.05
79,0.9049477,0.9049477,0.8608924,0.54531634,0.05
80,0.9049477,0.9049477,0.8608924,0.5268735,0.05
81,0.9049477,0.9049477,0.8608924,0.5428943,0.05
82,0.9049477,0.9049477,0.8608924,0.54372686,0.05
83,0.9049477,0.9049477,0.8608924,0.5511995,0.05
84,0.9049477,0.9049477,0.8608924,0.5463386,0.05
85,0.9049477,0.9049477,0.8608924,0.53998667,0.05
86,0.9049477,0.9049477,0.8608924,0.5309383,0.05
87,0.9049477,0.9049477,0.8608924,0.54967225,0.05
88,0.9049477,0.9049477,0.8608924,0.57496107,0.05
89,0.9049477,0.9049477,0.8608924,0.5656312,0.05
90,0.9049477,0.9049477,0.8608924,0.5264272,0.05
91,0.9049477,0.9049477,0.8608924,0.5341085,0.05
92,0.9049477,0.9049477,0.8608924,0.5414679,0.05
93,0.9049477,0.9049477,0.8608924,0.54938143,0.05
94,0.9049477,0.9049477,0.8608924,0.53870755,0.05
95,0.9049477,0.9049477,0.8608924,0.53138846,0.05
96,0.9049477,0.9049477,0.8608924,0.54047734,0.05
97,0.9049477,0.9049477,0.8608924,0.5276196,0.05
98,0.9049477,0.9049477,0.8608924,0.50930154,0.05
99,0.9049477,0.9049477,0.8608924,0.5371255,0.05
100,0.9049477,0.9049477,0.8608924,0.5343467,0.05
101,0.9049477,0.9049477,0.8608924,0.5247092,0.05
102,0.9049477,0.9049477,0.8608924,0.53919053,0.05
103,0.9049477,0.9049477,0.8608924,0.52960336,0.05
104,0.9049477,0.9049477,0.8608924,0.5488823,0.05
105,0.9049477,0.9049477,0.8608924,0.52554464,0.05
106,0.9049477,0.9049477,0.8608924,0.5147928,0.05
107,0.9049477,0.9049477,0.8608924,0.53000206,0.05
108,0.9049477,0.9049477,0.8608924,0.54857945,0.05
109,0.9049477,0.9049477,0.8608924,0.5399071,0.05
110,0.9049477,0.9049477,0.8608924,0.5354579,0.05
111,0.9049477,0.9049477,0.8608924,0.5396699,0.05
112,0.9049477,0.9049477,0.8608924,0.53203875,0.05
113,0.9049477,0.9049477,0.8608924,0.5301497,0.05
114,0.9049477,0.9049477,0.8608924,0.5298712,0.05
115,0.9049477,0.9049477,0.8608924,0.544716,0.05
116,0.9049477,0.9049477,0.8608924,0.54288864,0.05
117,0.9049477,0.9049477,0.8608924,0.52469397,0.05
118,0.9049477,0.9049477,0.8608924,0.53143436,0.05
119,0.9049477,0.9049477,0.8608924,0.54978204,0.05
120,0.9049477,0.9049477,0.8608924,0.5110975,0.05
121,0.9049477,0.9049477,0.8608924,0.5383207,0.05
122,0.9049477,0.9049477,0.8608924,0.53558457,0.05
123,0.9049477,0.9049477,0.8608924,0.536633,0.05
124,0.9049477,0.9049477,0.8608924,0.53740984,0.05
125,0.9049477,0.9049477,0.8608924,0.546321,0.05
126,0.9049477,0.9049477,0.8608924,0.5394213,0.05
127,0.9049477,0.9049477,0.8608924,0.504286,0.05
128,0.9049477,0.9049477,0.8608924,0.5266539,0.05
129,0.9049477,0.9049477,0.8608924,0.5127441,0.05
130,0.9049477,0.9049477,0.8608924,0.5215792,0.05
131,0.9049477,0.9049477,0.8608924,0.5174737,0.05
132,0.9049477,0.9049477,0.8608924,0.51605994,0.05
133,0.9049477,0.9049477,0.8608924,0.5396905,0.05
134,0.9049477,0.9049477,0.8608924,0.52392995,0.05
135,0.9049477,0.9049477,0.8608924,0.5274181,0.05
136,0.9049477,0.9049477,0.8608924,0.5231181,0.05
137,0.9049477,0.9049477,0.8608924,0.5135774,0.05
138,0.9049477,0.9049477,0.8608924,0.5299791,0.05
139,0.9049477,0.9049477,0.8608924,0.5216997,0.05
140,0.9049477,0.9049477,0.8608924,0.5375739,0.05
141,0.9049477,0.9049477,0.8608924,0.5365282,0.05
142,0.9049477,0.9049477,0.8608924,0.5469518,0.05
143,0.9049477,0.9049477,0.8608924,0.5334597,0.05
144,0.9049477,0.9049477,0.8608924,0.5438806,0.05
145,0.9049477,0.9049477,0.8608924,0.54539,0.05
146,0.9049477,0.9049477,0.8608924,0.5342396,0.05
147,0.9049477,0.9049477,0.8608924,0.5296762,0.05
148,0.9049477,0.9049477,0.8608924,0.5462375,0.05
149,0.9049477,0.9049477,0.8608924,0.5446257,0.05
150,0.9049477,0.9049477,0.8608924,0.54561335,0.05
151,0.9049477,0.9049477,0.8608924,0.5338732,0.05
152,0.9049477,0.9049477,0.8608924,0.5270897,0.05
153,0.9049477,0.9049477,0.8608924,0.5444233,0.05
154,0.9049477,0.9049477,0.8608924,0.53007114,0.05
155,0.9049477,0.9049477,0.8608924,0.543352,0.05
156,0.9049477,0.9049477,0.8608924,0.53518945,0.05
157,0.9049477,0.9049477,0.8608924,0.53098536,0.05
158,0.9049477,0.9049477,0.8608924,0.5450991,0.05
159,0.9049477,0.9049477,0.8608924,0.55305463,0.05
160,0.9049477,0.9049477,0.8608924,0.5198705,0.05
161,0.9049477,0.9049477,0.8608924,0.5629675,0.05
162,0.9049477,0.9049477,0.8608924,0.5305481,0.05
163,0.9049477,0.9049477,0.8608924,0.514751,0.05
164,0.9049477,0.9049477,0.8608924,0.5405433,0.05
165,0.9049477,0.9049477,0.8608924,0.53096,0.05
166,0.9049477,0.9049477,0.8608924,0.5135454,0.05
167,0.9049477,0.9049477,0.8608924,0.5170707,0.05
168,0.9049477,0.9049477,0.8608924,0.53053737,0.05
169,0.9049477,0.9049477,0.8608924,0.5389744,0.05
170,0.9049477,0.9049477,0.8608924,0.52293867,0.05
171,0.9049477,0.9049477,0.8608924,0.54528964,0.05
172,0.9049477,0.9049477,0.8608924,0.5150282,0.05
173,0.9049477,0.9049477,0.8608924,0.5333781,0.05
174,0.9049477,0.9049477,0.8608924,0.5250482,0.05
175,0.9049477,0.9049477,0.8608924,0.53483754,0.05
176,0.9049477,0.9049477,0.8608924,0.51909345,0.05
177,0.9049477,0.9049477,0.8608924,0.5349848,0.05
178,0.9049477,0.9049477,0.8608924,0.5432673,0.05
179,0.9049477,0.9049477,0.8608924,0.55381536,0.05
180,0.9049477,0.9049477,0.8608924,0.55933875,0.05
181,0.9049477,0.9049477,0.8608924,0.55259526,0.05
182,0.9049477,0.9049477,0.8608924,0.5501901,0.05
183,0.9049477,0.9049477,0.8608924,0.5234844,0.05
184,0.9049477,0.9049477,0.8608924,0.5237621,0.05
185,0.9049477,0.9049477,0.8608924,0.5073117,0.05
186,0.9049477,0.9049477,0.8608924,0.53642225,0.05
187,0.9049477,0.9049477,0.8608924,0.546883,0.05
188,0.9049477,0.9049477,0.8608924,0.550766,0.05
189,0.9049477,0.9049477,0.8608924,0.5488261,0.05
190,0.9049477,0.9049477,0.8608924,0.541024,0.05
191,0.9049477,0.9049477,0.8608924,0.5530692,0.05
192,0.9049477,0.9049477,0.8608924,0.53559995,0.05
193,0.9049477,0.9049477,0.8608924,0.539833,0.05
194,0.9049477,0.9049477,0.8608924,0.53830117,0.05
195,0.9049477,0.9049477,0.8608924,0.5145627,0.05
196,0.9049477,0.9049477,0.8608924,0.53871447,0.05
197,0.9049477,0.9049477,0.8608924,0.52874666,0.05
198,0.9049477,0.9049477,0.8608924,0.5270505,0.05
199,0.9049477,0.9049477,0.8608924,0.51006067,0.05
200,0.9049477,0.9049477,0.8608924,0.5123598,0.05
201,0.9049477,0.9049477,0.8608924,0.5040506,0.05
202,0.9049477,0.9049477,0.8608924,0.52264667,0.05
203,0.9049477,0.9049477,0.8608924,0.5467992,0.05
204,0.9049477,0.9049477,0.8608924,0.54510367,0.05
205,0.9049477,0.9049477,0.8608924,0.5342902,0.05
206,0.9049477,0.9049477,0.8608924,0.5384396,0.05
207,0.9049477,0.9049477,0.8608924,0.5286108,0.05
208,0.9049477,0.9049477,0.8608924,0.53149706,0.05
209,0.9049477,0.9049477,0.8608924,0.52708006,0.05
210,0.9049477,0.9049477,0.8608924,0.5075458,0.05
211,0.9049477,0.9049477,0.8608924,0.5149492,0.05
212,0.9049477,0.9049477,0.8608924,0.5228416,0.05
213,0.9049477,0.9049477,0.8608924,0.5130582,0.05
214,0.9049477,0.9049477,0.8608924,0.5218732,0.05
215,0.9049477,0.9049477,0.8608924,0.545898,0.05
216,0.9049477,0.9049477,0.8608924,0.544586,0.05
217,0.9049477,0.9049477,0.8608924,0.5334486,0.05
218,0.9049477,0.9049477,0.8608924,0.5284876,0.05
219,0.9049477,0.9049477,0.8608924,0.5371496,0.05
220,0.9049477,0.9049477,0.8608924,0.5183688,0.05
221,0.9049477,0.9049477,0.8608924,0.5342553,0.05
222,0.9049477,0.9049477,0.8608924,0.53540075,0.05
223,0.9049477,0.9049477,0.8608924,0.5361161,0.05
224,0.9049477,0.9049477,0.8608924,0.51752484,0.05
225,0.9049477,0.9049477,0.8608924,0.5417779,0.05
226,0.9049477,0.9049477,0.8608924,0.5513444,0.05
227,0.9049477,0.9049477,0.8608924,0.51859343,0.05
228,0.9049477,0.9049477,0.8608924,0.5505885,0.05
229,0.9049477,0.9049477,0.8608924,0.542753,0.05
230,0.9049477,0.9049477,0.8608924,0.5349801,0.05
231,0.9049477,0.9049477,0.8608924,0.54505765,0.05
232,0.9049477,0.9049477,0.8608924,0.5257967,0.05
233,0.9049477,0.9049477,0.8608924,0.5070978,0.05
234,0.9049477,0.9049477,0.8608924,0.5291742,0.05
235,0.9049477,0.9049477,0.8608924,0.54226136,0.05
236,0.9049477,0.9049477,0.8608924,0.54192376,0.05
237,0.9049477,0.9049477,0.8608924,0.51812094,0.05
238,0.9049477,0.9049477,0.8608924,0.5237434,0.05
239,0.9049477,0.9049477,0.8608924,0.5285275,0.05
240,0.9049477,0.9049477,0.8608924,0.5507171,0.05
241,0.9049477,0.9049477,0.8608924,0.53524965,0.05
242,0.9049477,0.9049477,0.8608924,0.5581026,0.05
243,0.9049477,0.9049477,0.8608924,0.56393504,0.05
244,0.9049477,0.9049477,0.8608924,0.5445393,0.05
245,0.9049477,0.9049477,0.8608924,0.5410037,0.05
246,0.9049477,0.9049477,0.8608924,0.550282,0.05
247,0.9049477,0.9049477,0.8608924,0.542561,0.05
248,0.9049477,0.9049477,0.8608924,0.5494123,0.05
249,0.9049477,0.9049477,0.8608924,0.5257205,0.05
250,0.9103813,0.9103813,0.8640227,0.54353106,0.05
251,0.9103813,0.9103813,0.8640227,0.51740927,0.05
252,0.9103813,0.9103813,0.8640227,0.5267284,0.05
253,0.9103813,0.9103813,0.8640227,0.5285978,0.05
254,0.9103813,0.9103813,0.8640227,0.5319213,0.05
255,0.9103813,0.9103813,0.8640227,0.49382427,0.05
256,0.9103813,0.9103813,0.8640227,0.5072008,0.05
257,0.9103813,0.9103813,0.8640227,0.53578013,0.05
258,0.9103813,0.9103813,0.8640227,0.52949065,0.05
259,0.9103813,0.9103813,0.8640227,0.5300332,0.05
260,0.9103813,0.9103813,0.8640227,0.520752,0.05
261,0.9103813,0.9103813,0.8640227,0.5142343,0.05
262,0.9103813,0.9103813,0.8640227,0.503141,0.05
263,0.9103813,0.9103813,0.8640227,0.5249727,0.05
264,0.9103813,0.9103813,0.8640227,0.5086164,0.05
265,0.9103813,0.9103813,0.8640227,0.51211745,0.05
