gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.6276458,0.6276458,0.53801167,0.23517638,0.02
1,0.6276458,0.6276458,0.53801167,0.3968932,0.0497
2,0.6276458,0.6276458,0.53801167,0.44870386,0.0497
3,0.6276458,0.6276458,0.53801167,0.45988047,0.0497
4,0.6276458,0.6276458,0.53801167,0.48039672,0.0497
5,0.6276458,0.6276458,0.53801167,0.48681435,0.0497
6,0.6276458,0.6276458,0.53801167,0.4887854,0.0497
7,0.6276458,0.6276458,0.53801167,0.4835423,0.0497
8,0.6276458,0.6276458,0.53801167,0.48031166,0.0497
9,0.6276458,0.6276458,0.53801167,0.5013641,0.0497
10,0.6276458,0.6276458,0.53801167,0.4996558,0.0497
11,0.62801087,0.62801087,0.553137,0.5146828,0.0497
12,0.62801087,0.62801087,0.553137,0.5121384,0.05
13,0.62801087,0.62801087,0.553137,0.51245594,0.05
14,0.62801087,0.62801087,0.553137,0.52033365,0.05
15,0.62801087,0.62801087,0.553137,0.5223232,0.05
16,0.62801087,0.62801087,0.553137,0.5363559,0.05
17,0.62801087,0.62801087,0.553137,0.5267834,0.05
18,0.64414364,0.64414364,0.5441176,0.5365547,0.05
19,0.6500473,0.6500473,0.573201,0.5378336,0.05
20,0.6500473,0.6500473,0.573201,0.53854305,0.05
21,0.6500473,0.6500473,0.573201,0.53003764,0.05
22,0.6500473,0.6500473,0.573201,0.5427862,0.05
23,0.6500473,0.6500473,0.573201,0.52724534,0.05
24,0.6500473,0.6500473,0.573201,0.54174083,0.05
25,0.6500473,0.6500473,0.573201,0.5310197,0.05
26,0.6500473,0.6500473,0.573201,0.5282831,0.05
27,0.6500473,0.6500473,0.573201,0.5430691,0.05
28,0.6500473,0.6500473,0.573201,0.5393705,0.05
29,0.6522108,0.6522108,0.5813953,0.5286059,0.05
30,0.6522108,0.6522108,0.5813953,0.54052925,0.05
31,0.6522108,0.6522108,0.5813953,0.52951646,0.05
32,0.6522108,0.6522108,0.5813953,0.54299664,0.05
33,0.6522108,0.6522108,0.5813953,0.53477526,0.05
34,0.6522108,0.6522108,0.5813953,0.54904824,0.05
35,0.6522108,0.6522108,0.5813953,0.5336118,0.05
36,0.6522108,0.6522108,0.5813953,0.5375901,0.05
37,0.6542296,0.6542296,0.57931036,0.5391456,0.05
38,0.6542296,0.6542296,0.57931036,0.53811544,0.05
39,0.6542296,0.6542296,0.57931036,0.54284716,0.05
40,0.6542296,0.6542296,0.57931036,0.54760545,0.05
41,0.6542296,0.6542296,0.57931036,0.5421088,0.05
42,0.6542296,0.6542296,0.57931036,0.5514726,0.05
43,0.6562285,0.6562285,0.5706134,0.54262406,0.05
44,0.6562285,0.6562285,0.5706134,0.5409862,0.05
45,0.6562285,0.6562285,0.5706134,0.53030634,0.05
46,0.6638537,0.6638537,0.59116024,0.54556745,0.05
47,0.6752647,0.6752647,0.6062323,0.5475655,0.05
48,0.6752647,0.6752647,0.6062323,0.54481405,0.05
49,0.6752647,0.6752647,0.6062323,0.54676753,0.05
50,0.6752647,0.6752647,0.6062323,0.533571,0.05
51,0.6752647,0.6752647,0.6062323,0.5398386,0.05
52,0.6752647,0.6752647,0.6062323,0.53734255,0.05
53,0.6752647,0.6752647,0.6062323,0.53876334,0.05
54,0.6752647,0.6752647,0.6062323,0.54949784,0.05
55,0.6752647,0.6752647,0.6062323,0.53893214,0.05
56,0.6752647,0.6752647,0.6062323,0.5456606,0.05
57,0.6752647,0.6752647,0.6062323,0.5564831,0.05
58,0.6752647,0.6752647,0.6062323,0.53702104,0.05
59,0.6752647,0.6752647,0.6062323,0.54298735,0.05
60,0.6752647,0.6752647,0.6062323,0.53891706,0.05
61,0.6752647,0.6752647,0.6062323,0.5389947,0.05
62,0.6752647,0.6752647,0.6062323,0.535925,0.05
63,0.6752647,0.6752647,0.6062323,0.53203183,0.05
64,0.6752647,0.6752647,0.6062323,0.5364205,0.05
65,0.6752647,0.6752647,0.6062323,0.53921044,0.05
66,0.6752647,0.6752647,0.6062323,0.5275797,0.05
67,0.6752647,0.6752647,0.6062323,0.55249476,0.05
68,0.6752647,0.6752647,0.6062323,0.54878795,0.05
69,0.6752647,0.6752647,0.6062323,0.54969925,0.05
70,0.6752647,0.6752647,0.6062323,0.5503482,0.05
71,0.6752647,0.6752647,0.6062323,0.5393991,0.05
72,0.6752647,0.6752647,0.6062323,0.54916173,0.05
73,0.6752647,0.6752647,0.6062323,0.5556588,0.05
74,0.6752647,0.6752647,0.6062323,0.5516193,0.05
75,0.6752647,0.6752647,0.6062323,0.53224254,0.05
76,0.6752647,0.6752647,0.6062323,0.54631704,0.05
77,0.6752647,0.6752647,0.6062323,0.5485545,0.05
78,0.6752647,0.6752647,0.6062323,0.5533359,0.05
79,0.6752647,0.6752647,0.6062323,0.55455714,0.05
80,0.6752647,0.6752647,0.6062323,0.541915,0.05
81,0.6752647,0.6752647,0.6062323,0.54923904,0.05
82,0.6752647,0.6752647,0.6062323,0.5445621,0.05
83,0.6752647,0.6752647,0.6062323,0.53943795,0.05
84,0.6752647,0.6752647,0.6062323,0.5573923,0.05
85,0.6752647,0.6752647,0.6062323,0.5545796,0.05
86,0.6752647,0.6752647,0.6062323,0.5529537,0.05
87,0.6752647,0.6752647,0.6062323,0.5387108,0.05
88,0.6752647,0.6752647,0.6062323,0.5462387,0.05
89,0.6752647,0.6752647,0.6062323,0.5248117,0.05
90,0.6752647,0.6752647,0.6062323,0.5260225,0.05
91,0.6752647,0.6752647,0.6062323,0.5382932,0.05
92,0.6752647,0.6752647,0.6062323,0.5470836,0.05
93,0.6752647,0.6752647,0.6062323,0.5413241,0.05
94,0.6752647,0.6752647,0.6062323,0.53947324,0.05
95,0.6752647,0.6752647,0.6062323,0.54527503,0.05
96,0.6752647,0.6752647,0.6062323,0.54702234,0.05
97,0.6752647,0.6752647,0.6062323,0.5425435,0.05
98,0.6752647,0.6752647,0.6062323,0.52882355,0.05
99,0.6752647,0.6752647,0.6062323,0.5464348,0.05
100,0.6752647,0.6752647,0.6062323,0.53903145,0.05
101,0.6752647,0.6752647,0.6062323,0.5265647,0.05
102,0.6752647,0.6752647,0.6062323,0.5298069,0.05
103,0.6752647,0.6752647,0.6062323,0.5370743,0.05
104,0.6752647,0.6752647,0.6062323,0.54323107,0.05
105,0.6752647,0.6752647,0.6062323,0.5416758,0.05
106,0.6752647,0.6752647,0.6062323,0.53280497,0.05
107,0.6752647,0.6752647,0.6062323,0.5342201,0.05
108,0.6752647,0.6752647,0.6062323,0.5391974,0.05
109,0.6752647,0.6752647,0.6062323,0.53830975,0.05
110,0.6752647,0.6752647,0.6062323,0.52737534,0.05
111,0.6752647,0.6752647,0.6062323,0.5365783,0.05
112,0.6752647,0.6752647,0.6062323,0.538056,0.05
113,0.6752647,0.6752647,0.6062323,0.5378998,0.05
114,0.6752647,0.6752647,0.6062323,0.5475953,0.05
115,0.6752647,0.6752647,0.6062323,0.5440527,0.05
116,0.6752647,0.6752647,0.6062323,0.53687274,0.05
